Item	Price	Quantity in Stock	Cashier	Time Stamp
item-664	33.99	59	Cashier-4	17:45
item-665	36.99	130	Cashier-3	12:26
item-666	51.99	32	Cashier-3	11:54
item-667	36.99	101	Cashier-2	17:21
item-668	20.99	159	Cashier-1	12:47
item-669	36.99	36	Cashier-3	21:35
item-670	41.99	83	Cashier-3	21:22
item-671	16.99	177	Cashier-5	15:43
item-672	28.99	157	Cashier-4	10:15
item-673	28.99	185	Cashier-4	19:12
item-674	47.99	43	Cashier-1	18:20
item-675	28.99	165	Cashier-2	22:31
item-676	43.99	55	Cashier-1	15:54
item-677	36.99	60	Cashier-4	13:30
item-678	23.99	158	Cashier-3	20:26
item-679	28.99	200	Cashier-3	15:39
item-680	8.99	163	Cashier-5	10:42
item-681	2.99	97	Cashier-3	19:40
item-682	10.99	163	Cashier-1	18:17
item-683	26.99	86	Cashier-3	10:51
item-684	14.99	112	Cashier-5	18:35
item-685	34.99	77	Cashier-3	12:55
item-686	21.99	101	Cashier-4	18:40
item-687	31.99	31	Cashier-2	11:23
item-688	25.99	133	Cashier-2	17:42
item-689	46.99	125	Cashier-1	17:34
item-690	31.99	58	Cashier-4	16:36
item-691	6.99	182	Cashier-5	23:52
item-692	46.99	85	Cashier-2	19:40
item-693	31.99	5	Cashier-3	16:48
item-694	23.99	54	Cashier-2	23:26
item-695	53.99	115	Cashier-1	22:21
item-696	21.99	93	Cashier-1	17:25
item-697	4.99	190	Cashier-5	16:38
item-698	39.99	79	Cashier-5	10:40
item-699	43.99	196	Cashier-4	15:23
item-700	22.99	153	Cashier-1	20:12
item-701	20.99	182	Cashier-1	17:39
item-702	48.99	9	Cashier-5	16:48
item-703	14.99	65	Cashier-2	17:16
item-704	56.99	78	Cashier-2	10:32
item-705	50.99	164	Cashier-5	13:51
item-706	33.99	105	Cashier-2	14:57
item-707	55.99	143	Cashier-5	12:19
item-708	4.99	59	Cashier-4	18:44
item-709	40.99	82	Cashier-5	19:38
item-710	57.99	175	Cashier-2	16:58
item-711	2.99	8	Cashier-5	23:38
item-712	4.99	38	Cashier-1	11:43
item-713	43.99	133	Cashier-2	15:13
item-714	48.99	54	Cashier-3	19:23
item-715	8.99	157	Cashier-1	10:51
item-716	25.99	73	Cashier-3	21:46
item-717	13.99	111	Cashier-3	13:55
item-718	21.99	184	Cashier-5	17:57
item-719	51.99	130	Cashier-4	12:48
item-720	34.99	182	Cashier-4	15:16
item-721	10.99	144	Cashier-1	21:41
item-722	10.99	94	Cashier-4	17:40
item-723	15.99	100	Cashier-2	16:18
item-724	56.99	130	Cashier-1	22:11
item-725	55.99	145	Cashier-1	17:42
item-726	26.99	161	Cashier-2	12:55
item-727	40.99	69	Cashier-3	18:18
item-728	60.99	151	Cashier-1	12:40
item-729	29.99	42	Cashier-5	23:15
item-730	24.99	168	Cashier-3	17:45
item-731	49.99	184	Cashier-5	23:47
item-732	7.99	115	Cashier-3	20:42
item-733	32.99	99	Cashier-1	13:41
item-734	60.99	182	Cashier-2	14:41
item-735	53.99	40	Cashier-1	13:44
item-736	41.99	12	Cashier-3	22:45
item-737	24.99	145	Cashier-2	18:26
item-738	15.99	101	Cashier-2	13:21
item-739	29.99	67	Cashier-2	18:24
item-740	58.99	76	Cashier-5	10:42
item-741	7.99	124	Cashier-4	22:20
item-742	46.99	164	Cashier-5	22:33
item-743	25.99	11	Cashier-5	14:43
item-744	5.99	38	Cashier-5	13:55
item-745	8.99	74	Cashier-2	11:21
item-746	41.99	55	Cashier-2	16:17
item-747	31.99	67	Cashier-3	21:23
item-748	12.99	188	Cashier-2	20:27
item-749	31.99	174	Cashier-5	20:26
item-750	7.99	137	Cashier-5	20:11
item-751	60.99	36	Cashier-2	20:36
item-752	4.99	19	Cashier-1	23:15
item-753	13.99	125	Cashier-5	16:15
item-754	43.99	85	Cashier-2	20:41
item-755	1.99	24	Cashier-4	11:59
item-756	50.99	196	Cashier-2	19:33
item-757	28.99	178	Cashier-4	19:29
item-758	52.99	80	Cashier-2	16:33
item-759	31.99	47	Cashier-1	12:33
item-760	38.99	65	Cashier-3	21:19
item-761	33.99	139	Cashier-4	16:40
item-762	18.99	176	Cashier-4	15:34
item-763	43.99	99	Cashier-5	23:41
item-764	23.99	165	Cashier-3	17:49
item-765	59.99	92	Cashier-2	13:17
item-766	57.99	116	Cashier-2	21:33
item-767	11.99	6	Cashier-2	17:21
item-768	48.99	39	Cashier-1	11:56
item-769	55.99	168	Cashier-1	21:18
item-770	18.99	159	Cashier-3	17:48
item-771	37.99	193	Cashier-3	19:29
item-772	37.99	181	Cashier-5	17:18
item-773	1.99	155	Cashier-1	14:12
item-774	18.99	77	Cashier-3	12:25
item-775	51.99	188	Cashier-3	18:35
item-776	49.99	50	Cashier-1	17:11
item-777	10.99	152	Cashier-4	23:19
item-778	43.99	78	Cashier-4	22:51
item-779	44.99	14	Cashier-1	21:37
item-780	15.99	154	Cashier-2	13:55
item-781	16.99	191	Cashier-3	21:29
item-782	34.99	29	Cashier-4	16:40
item-783	16.99	58	Cashier-3	15:54
item-784	26.99	186	Cashier-5	12:21
item-785	53.99	133	Cashier-2	20:54
item-786	36.99	89	Cashier-4	22:34
item-787	17.99	172	Cashier-1	19:54
item-788	3.99	162	Cashier-3	12:48
item-789	20.99	190	Cashier-5	15:14
item-790	48.99	188	Cashier-2	18:29
item-791	56.99	120	Cashier-4	15:36
item-792	34.99	9	Cashier-3	17:46
item-793	57.99	182	Cashier-4	21:32
item-794	49.99	15	Cashier-2	11:47
item-795	23.99	187	Cashier-3	16:27
item-796	19.99	18	Cashier-4	15:27
item-797	55.99	154	Cashier-5	20:43
item-798	14.99	71	Cashier-5	10:31
item-799	49.99	125	Cashier-5	16:26
item-800	57.99	51	Cashier-1	23:29
item-801	35.99	73	Cashier-3	15:45
item-802	47.99	179	Cashier-5	12:41
item-803	23.99	88	Cashier-3	17:50
item-804	44.99	71	Cashier-1	15:25
item-805	4.99	21	Cashier-2	17:49
item-806	34.99	136	Cashier-5	19:36
item-807	40.99	186	Cashier-2	19:37
item-808	12.99	152	Cashier-1	11:59
item-809	37.99	130	Cashier-3	19:21
item-810	22.99	31	Cashier-2	19:28
item-811	5.99	104	Cashier-3	16:55
item-812	23.99	68	Cashier-1	10:48
item-813	5.99	117	Cashier-5	12:55
item-814	35.99	158	Cashier-4	23:10
item-815	52.99	193	Cashier-3	22:31
item-816	50.99	112	Cashier-3	15:52
item-817	43.99	197	Cashier-1	21:35
item-818	15.99	144	Cashier-1	23:57
item-819	51.99	180	Cashier-3	12:50
item-820	5.99	137	Cashier-5	13:13
item-821	34.99	162	Cashier-1	22:43
item-822	36.99	121	Cashier-5	12:29
item-823	23.99	138	Cashier-2	22:29
item-824	21.99	68	Cashier-1	11:14
item-825	14.99	42	Cashier-3	20:14
item-826	2.99	79	Cashier-4	22:35
item-827	45.99	191	Cashier-1	19:42
item-828	52.99	91	Cashier-4	23:48
item-829	36.99	168	Cashier-5	19:29
item-830	6.99	186	Cashier-1	10:19
item-831	29.99	92	Cashier-2	22:16
item-832	44.99	13	Cashier-1	13:14
item-833	9.99	147	Cashier-1	12:43
item-834	38.99	111	Cashier-2	15:52
item-835	34.99	135	Cashier-1	10:33
item-836	58.99	112	Cashier-5	18:52
item-837	54.99	88	Cashier-4	18:37
item-838	32.99	157	Cashier-2	10:23
item-839	42.99	168	Cashier-5	19:51
item-840	37.99	53	Cashier-1	13:32
item-841	31.99	188	Cashier-5	10:10
item-842	45.99	134	Cashier-3	18:32
item-843	53.99	197	Cashier-4	21:21
item-844	24.99	123	Cashier-4	11:19
item-845	14.99	33	Cashier-1	12:48
item-846	4.99	49	Cashier-4	21:35
item-847	17.99	141	Cashier-1	14:21
item-848	52.99	82	Cashier-3	19:57
item-849	11.99	103	Cashier-5	14:35
item-850	55.99	139	Cashier-1	23:13
item-851	27.99	149	Cashier-4	20:23
item-852	29.99	65	Cashier-3	15:50
item-853	28.99	60	Cashier-5	10:45
item-854	57.99	87	Cashier-2	17:45
item-855	45.99	193	Cashier-3	22:19
item-856	4.99	184	Cashier-5	23:49
item-857	30.99	18	Cashier-5	10:48
item-858	15.99	127	Cashier-2	21:56
item-859	16.99	141	Cashier-5	19:17
item-860	41.99	152	Cashier-2	10:46
item-861	5.99	185	Cashier-2	15:21
item-862	48.99	136	Cashier-4	13:25
item-863	1.99	157	Cashier-5	15:44
item-864	42.99	185	Cashier-1	12:56
item-865	51.99	165	Cashier-4	16:13
item-866	53.99	172	Cashier-1	18:41
item-867	14.99	148	Cashier-1	23:56
item-868	52.99	151	Cashier-5	23:54
item-869	25.99	76	Cashier-1	14:15
item-870	12.99	156	Cashier-3	19:57
item-871	33.99	15	Cashier-3	17:59
item-872	37.99	132	Cashier-5	19:16
item-873	9.99	151	Cashier-3	23:50
item-874	8.99	188	Cashier-4	10:40
item-875	57.99	12	Cashier-2	14:35
item-876	44.99	19	Cashier-5	13:35
item-877	24.99	161	Cashier-1	16:46
item-878	35.99	16	Cashier-3	14:58
item-879	48.99	134	Cashier-3	15:25
item-880	52.99	119	Cashier-5	16:55
item-881	17.99	42	Cashier-1	12:16
item-882	49.99	79	Cashier-5	16:25
item-883	30.99	197	Cashier-2	18:13
item-884	21.99	50	Cashier-3	13:37
item-885	42.99	176	Cashier-3	18:35
item-886	56.99	172	Cashier-4	17:39
item-887	33.99	97	Cashier-2	11:33
item-888	33.99	68	Cashier-4	15:22
item-889	28.99	187	Cashier-3	14:38
item-890	38.99	103	Cashier-2	22:42
item-891	20.99	10	Cashier-5	18:12
item-892	15.99	102	Cashier-3	15:19
item-893	49.99	42	Cashier-5	10:53
item-894	12.99	111	Cashier-1	12:15
item-895	6.99	190	Cashier-2	16:41
item-896	34.99	21	Cashier-1	22:48
item-897	41.99	64	Cashier-5	10:46
item-898	51.99	88	Cashier-4	10:37
item-899	46.99	80	Cashier-1	10:36
item-900	45.99	87	Cashier-5	16:26
item-901	55.99	157	Cashier-1	14:11
item-902	51.99	101	Cashier-1	15:59
item-903	48.99	64	Cashier-2	16:28
item-904	9.99	33	Cashier-2	11:24
item-905	31.99	82	Cashier-3	19:31
item-906	41.99	138	Cashier-5	16:42
item-907	56.99	66	Cashier-2	23:58
item-908	52.99	145	Cashier-1	23:58
item-909	49.99	58	Cashier-4	14:10
item-910	20.99	113	Cashier-1	10:39
item-911	48.99	195	Cashier-2	12:53
item-912	17.99	73	Cashier-2	15:39
item-913	4.99	65	Cashier-2	23:42
item-914	9.99	121	Cashier-2	16:51
item-915	25.99	185	Cashier-1	10:42
item-916	42.99	175	Cashier-5	11:50
item-917	8.99	128	Cashier-2	21:38
item-918	29.99	63	Cashier-3	18:57
item-919	12.99	7	Cashier-1	16:48
item-920	16.99	21	Cashier-1	23:11
item-921	45.99	96	Cashier-3	11:25
item-922	34.99	138	Cashier-1	23:16
item-923	25.99	131	Cashier-5	23:46
item-924	20.99	37	Cashier-4	21:38
item-925	7.99	190	Cashier-2	18:31
item-926	32.99	5	Cashier-4	17:36
item-927	26.99	113	Cashier-2	18:53
item-928	46.99	47	Cashier-2	15:51
item-929	41.99	61	Cashier-3	15:52
item-930	14.99	135	Cashier-4	16:30
item-931	33.99	145	Cashier-3	14:46
item-932	47.99	112	Cashier-1	15:41
item-933	46.99	186	Cashier-4	15:59
item-934	17.99	117	Cashier-2	18:22
item-935	44.99	21	Cashier-5	23:28
item-936	54.99	32	Cashier-1	22:28
item-937	27.99	32	Cashier-3	17:32
item-938	32.99	35	Cashier-5	13:26
item-939	21.99	111	Cashier-2	10:32
item-940	5.99	175	Cashier-4	15:17
item-941	39.99	156	Cashier-2	19:26
item-942	10.99	86	Cashier-3	13:19
item-943	32.99	200	Cashier-1	16:47
item-944	23.99	31	Cashier-5	17:18
item-945	26.99	54	Cashier-2	22:38
item-946	20.99	136	Cashier-5	18:48
item-947	20.99	89	Cashier-3	19:41
item-948	36.99	63	Cashier-1	14:53
item-949	1.99	17	Cashier-5	13:32
item-950	14.99	23	Cashier-5	13:27
item-951	45.99	69	Cashier-3	18:14
item-952	9.99	96	Cashier-2	23:57
item-953	10.99	125	Cashier-4	14:45
item-954	9.99	112	Cashier-5	10:52
item-955	2.99	93	Cashier-1	21:42
item-956	7.99	193	Cashier-5	21:24
item-957	14.99	137	Cashier-2	23:14
item-958	31.99	60	Cashier-3	18:45
item-959	40.99	193	Cashier-4	17:14
item-960	30.99	18	Cashier-4	12:26
item-961	24.99	59	Cashier-2	16:35
item-962	52.99	74	Cashier-4	12:13
item-963	46.99	7	Cashier-1	19:28
item-964	60.99	142	Cashier-3	22:25
item-965	11.99	136	Cashier-4	16:22
item-966	52.99	98	Cashier-4	19:40
item-967	29.99	129	Cashier-1	23:49
item-968	30.99	198	Cashier-2	17:48
item-969	1.99	67	Cashier-4	13:32
item-970	42.99	146	Cashier-1	14:56
item-971	6.99	64	Cashier-2	22:42
item-972	44.99	20	Cashier-3	16:37
item-973	35.99	94	Cashier-4	17:14
item-974	57.99	88	Cashier-1	14:26
item-975	29.99	23	Cashier-3	13:28
item-976	56.99	114	Cashier-5	22:43
item-977	56.99	178	Cashier-4	22:39
item-978	32.99	158	Cashier-1	13:49
item-979	40.99	182	Cashier-4	10:15
item-980	38.99	16	Cashier-5	19:41
item-981	58.99	6	Cashier-2	14:55
item-982	43.99	32	Cashier-5	14:24
item-983	16.99	189	Cashier-3	20:22
item-984	8.99	84	Cashier-1	23:19
item-985	29.99	118	Cashier-2	17:33
item-986	18.99	188	Cashier-5	21:29
item-987	49.99	9	Cashier-1	13:31
item-988	40.99	116	Cashier-3	10:20
item-989	51.99	19	Cashier-2	14:13
item-990	20.99	17	Cashier-3	11:58
item-991	15.99	5	Cashier-4	14:42
item-992	50.99	171	Cashier-2	10:56
item-993	44.99	96	Cashier-3	12:21
item-994	34.99	122	Cashier-2	12:48
item-995	34.99	176	Cashier-5	21:57
item-996	43.99	81	Cashier-5	10:57
item-997	47.99	14	Cashier-2	10:55
item-998	29.99	56	Cashier-2	11:38
item-999	34.99	199	Cashier-4	17:51
